date,sales
2006-07-01,328.2
2006-08-01,333.08
2006-09-01,338.59
2006-10-01,354.06
2006-11-01,368.09
2006-12-01,372.25
2007-01-01,369.63
2007-02-01,363.06
2007-03-01,378.91
2007-04-01,360.45
2007-05-01,342.89
2007-06-01,326.07
2007-07-01,337.43
2007-08-01,342.86
2007-09-01,348.8
2007-10-01,365.56
2007-11-01,367.22
2007-12-01,379.34
2008-01-01,394.5
2008-02-01,383.64
2008-03-01,382.36
2008-04-01,372.08
2008-05-01,346.25
2008-06-01,353.97
2008-07-01,345.92
2008-08-01,342.95
2008-09-01,364.95
2008-10-01,368.56
2008-11-01,377.92
2008-12-01,387.02
2009-01-01,390.15
2009-02-01,381.28
2009-03-01,386.58
2009-04-01,384.17
2009-05-01,366.91
2009-06-01,365.01
2009-07-01,354.22
2009-08-01,354.03
2009-09-01,368.72
2009-10-01,378.2
2009-11-01,399.13
2009-12-01,400.81
2010-01-01,392.19
2010-02-01,400.78
2010-03-01,389.39
2010-04-01,383.71
2010-05-01,365.66
2010-06-01,369.85
2010-07-01,365.1
2010-08-01,374.67
2010-09-01,387.01
2010-10-01,386.18
2010-11-01,404.87
2010-12-01,405.99
2011-01-01,414.84
2011-02-01,413.43
2011-03-01,392.11
2011-04-01,402.8
2011-05-01,383.0
2011-06-01,371.72
2011-07-01,383.28
2011-08-01,381.69
2011-09-01,391.4
2011-10-01,401.53
2011-11-01,414.05
2011-12-01,420.29
2012-01-01,417.28
2012-02-01,421.19
2012-03-01,411.59
2012-04-01,410.94
2012-05-01,394.97
2012-06-01,381.82
2012-07-01,383.68
2012-08-01,395.65
2012-09-01,405.48
2012-10-01,401.14
2012-11-01,419.14
2012-12-01,427.04
2013-01-01,431.25
2013-02-01,426.7
2013-03-01,426.99
2013-04-01,414.98
2013-05-01,405.16
2013-06-01,397.06
2013-07-01,399.16
2013-08-01,408.93
2013-09-01,418.75
2013-10-01,412.24
2013-11-01,421.04
2013-12-01,429.72
2014-01-01,453.19
2014-02-01,437.16
2014-03-01,432.65
2014-04-01,434.5
2014-05-01,411.68
2014-06-01,400.34
2014-07-01,410.13
2014-08-01,400.39
2014-09-01,418.23
2014-10-01,435.97
2014-11-01,439.76
2014-12-01,449.64
2015-01-01,447.03
2015-02-01,448.23
2015-03-01,442.15
2015-04-01,427.15
2015-05-01,426.34
2015-06-01,422.41
2015-07-01,409.54
2015-08-01,424.08
2015-09-01,427.27
2015-10-01,438.03
2015-11-01,460.35
2015-12-01,449.74
2016-01-01,460.04
2016-02-01,460.83
2016-03-01,460.47
2016-04-01,439.56
2016-05-01,440.59
2016-06-01,432.43
2016-07-01,425.38
2016-08-01,432.2
2016-09-01,440.83
2016-10-01,436.73
2016-11-01,458.03
2016-12-01,469.73
2017-01-01,464.35
2017-02-01,464.44
2017-03-01,465.52
2017-04-01,449.21
2017-05-01,448.43
2017-06-01,433.25
2017-07-01,430.27
2017-08-01,428.44
2017-09-01,448.98
2017-10-01,454.08
2017-11-01,465.14
2017-12-01,478.47
2018-01-01,478.21
2018-02-01,475.68
2018-03-01,461.17
2018-04-01,469.18
2018-05-01,454.6
2018-06-01,449.24
2018-07-01,452.14
2018-08-01,446.6
2018-09-01,458.0
2018-10-01,468.92
2018-11-01,476.95
2018-12-01,478.83
2019-01-01,491.63
2019-02-01,481.46
2019-03-01,484.35
2019-04-01,466.03
2019-05-01,452.08
2019-06-01,457.63
2019-07-01,448.01
2019-08-01,458.49
2019-09-01,459.47
2019-10-01,475.45
2019-11-01,497.23
2019-12-01,496.06
2020-01-01,491.27
2020-02-01,502.67
2020-03-01,498.17
2020-04-01,484.69
2020-05-01,469.77
2020-06-01,460.41
2020-07-01,461.49
2020-08-01,468.89
2020-09-01,486.14
2020-10-01,490.62
2020-11-01,504.07
2020-12-01,503.34
2021-01-01,502.68
2021-02-01,502.47
2021-03-01,506.57
2021-04-01,490.05
2021-05-01,480.53
2021-06-01,465.85
2021-07-01,471.02
2021-08-01,477.6
2021-09-01,482.92
2021-10-01,490.56
2021-11-01,502.39
2021-12-01,515.82
2022-01-01,529.78
2022-02-01,513.92
2022-03-01,511.72
2022-04-01,508.31
2022-05-01,486.82
2022-06-01,477.36
2022-07-01,476.89
2022-08-01,486.75
2022-09-01,506.21
2022-10-01,512.67
2022-11-01,514.55
2022-12-01,540.22
2023-01-01,520.44
2023-02-01,517.88
2023-03-01,520.93
2023-04-01,507.29
2023-05-01,499.91
2023-06-01,495.92
2023-07-01,491.29
2023-08-01,501.87
2023-09-01,506.92
2023-10-01,508.41
2023-11-01,530.76
2023-12-01,523.88
